N,Price,Dist,Rooms,Nfloors,Floor,Totsp,Livesp,Kitsp,Metrdist,Walk,Brick,Bal,Tel,New
628.0,5200000.0,5.584425116858386,1,9,9,32.6,18.7,6,12,1,0.0,0.0,1,0.0
629.0,5200000.0,14.791073206597572,1,22,10,42,19,10,10,0,0.0,1.0,0,0.0
630.0,5232000.0,14.287382460002524,2,20,4,48.9,29,10,8,1,1.0,0.0,None,1.0
631.0,5232300.0,14.276006086634045,2,20,14,48.9,23,6.5,6,1,1.0,0.0,None,1.0
632.0,5239080.0,11.113152001460053,1,20,7,32.4,None,None,None,None,0.0,0.0,None,1.0
633.0,5250000.0,15.625411241888363,1,12,1,39.8,21,9,5,0,0.0,0.0,None,0.0
634.0,5250000.0,15.625411241888363,1,12,1,39.8,21,9,20,1,0.0,0.0,None,0.0
635.0,5250000.0,14.88501224715717,2,12,2,38,23,6.5,30,1,0.0,0.0,1,0.0
636.0,5255280.0,11.113152001460053,1,20,11,32.4,None,None,None,None,0.0,0.0,None,1.0
637.0,5269863.0,10.946509775726676,1,18,4,29.5,20,None,10,1,1.0,0.0,None,1.0
638.0,5297400.0,11.113152001460053,1,20,2,32.4,None,None,None,None,0.0,0.0,None,1.0
639.0,5300000.0,12.674430297957803,1,9,5,34,21.7,6,7,1,0.0,1.0,None,0.0
640.0,5300000.0,10.120912952138928,2,12,2,37,23,7.5,None,None,0.0,0.0,1,0.0
641.0,5300000.0,9.306392072129663,1,12,11,35,20,10,None,None,0.0,1.0,None,0.0
642.0,5300000.0,15.54942513516621,1,12,7,40,21,8,15,0,0.0,1.0,0,0.0
643.0,5300000.0,8.13397793058462,1,5,4,30,17,6,25,1,1.0,1.0,None,0.0
644.0,5300000.0,9.873043694739165,1,5,3,30,18.8,5.8,5,0,1.0,1.0,1,0.0
645.0,6499000.0,13.449819444569876,1,14,8,40,20,10,15,1,0.0,1.0,None,0.0
646.0,11868759.0,10.760366517541806,2,11,2,57.4,29.9,10.3,1,1,1.0,1.0,None,1.0
647.0,8769000.0,5.902545589280023,1,3,2,58,None,None,15,1,1.0,0.0,None,1.0
648.0,5300000.0,16.222888604434807,1,9,2,35,20.8,6,15,1,0.0,1.0,1,0.0
649.0,5325280.0,11.113152001460053,1,16,5,33.3,None,None,None,None,0.0,0.0,None,1.0
650.0,5350000.0,16.003955975156014,1,12,1,32,16,7.5,14,1,0.0,1.0,0,0.0
651.0,5350000.0,12.935657693486016,1,12,1,39.6,21,8.5,5,0,0.0,0.0,1,0.0
652.0,5350000.0,14.462877807140952,2,5,5,44,29,6,10,1,1.0,1.0,1,0.0
653.0,5350000.0,15.514809416921828,1,14,2,35,19.5,9.6,10,0,0.0,1.0,1,0.0
654.0,5350000.0,13.884341650092543,2,5,4,40,25,6,8,0,1.0,1.0,0,0.0
655.0,5352270.0,11.113152001460053,1,16,7,33.1,None,None,None,None,0.0,0.0,None,1.0
656.0,5361550.0,13.517568425052795,1,17,9,30.3,13.4,8.8,3,1,1.0,1.0,None,1.0
657.0,5367960.0,11.113152001460053,1,18,3,33.3,None,None,None,None,0.0,0.0,None,1.0
658.0,5367960.0,11.113152001460053,1,18,4,33.3,None,None,None,None,0.0,0.0,None,1.0
659.0,5368820.0,11.113152001460053,1,16,9,33.1,None,None,None,None,0.0,0.0,None,1.0
660.0,5368820.0,11.113152001460053,1,16,12,33.1,None,None,None,None,0.0,0.0,None,1.0
661.0,5372250.0,11.113152001460053,1,20,7,32.5,None,None,None,None,0.0,0.0,None,1.0
662.0,5388500.0,11.113152001460053,1,20,12,32.6,None,None,None,None,0.0,0.0,None,1.0
663.0,5391990.0,11.113152001460053,1,16,15,33.2,None,None,None,None,0.0,0.0,None,1.0
664.0,5400000.0,10.282430028449774,1,9,9,31,20.9,5.3,10,1,1.0,1.0,1,0.0
665.0,5409984.0,10.946509775726676,1,18,8,29.7,20,None,10,1,1.0,0.0,None,1.0
666.0,5411250.0,11.113152001460053,1,20,15,32.6,None,None,None,None,0.0,0.0,None,1.0
667.0,5411250.0,11.113152001460053,1,20,18,32.6,None,None,None,None,0.0,0.0,None,1.0
668.0,5411250.0,11.113152001460053,1,20,19,32.6,None,None,None,None,0.0,0.0,None,1.0
669.0,5411600.0,11.113152001460053,1,18,12,33.2,None,None,None,None,0.0,0.0,None,1.0
670.0,5428496.0,10.946509775726676,1,18,10,27.6,20,None,10,1,1.0,0.0,None,1.0
671.0,5430000.0,13.96296977857509,1,11,8,31.6,20,8,13,1,1.0,0.0,0,0.0
672.0,5436850.0,6.082149909983166,1,46,8,41,25,None,9,1,1.0,0.0,None,1.0
673.0,5300000.0,13.494903612769052,1,9,3,34,21,6,19,0,0.0,1.0,None,0.0
674.0,6300000.0,14.37408684417613,1,15,10,35,18,9,30,1,1.0,1.0,1,0.0
675.0,6716710.0,11.113152001460053,2,20,4,46.3,None,None,None,None,0.0,0.0,None,1.0
676.0,5440980.0,15.333692329616138,1,15,12,29.3,22.2,None,7,1,1.0,1.0,None,1.0
677.0,5440980.0,11.113152001460053,1,16,7,35.4,None,None,None,None,0.0,0.0,None,1.0
678.0,5450000.0,11.35638813983689,1,9,2,35,20,7,20,1,0.0,0.0,1,0.0
679.0,5450000.0,12.437424737565669,2,5,1,43.5,29,6,20,1,1.0,0.0,None,0.0
680.0,5454870.0,11.113152001460053,1,20,5,35.0,None,None,None,None,0.0,0.0,None,1.0
681.0,5454870.0,11.113152001460053,1,20,3,34.9,None,None,None,None,0.0,0.0,None,1.0
682.0,5454870.0,11.113152001460053,1,20,4,34.9,None,None,None,None,0.0,0.0,None,1.0
683.0,5462730.0,11.113152001460053,1,18,2,37.7,None,None,None,None,0.0,0.0,None,1.0
684.0,5463800.0,11.113152001460053,1,18,2,34,None,None,None,None,0.0,0.0,None,1.0
685.0,5480000.0,11.99992638205605,1,9,9,35,20,7,8,1,0.0,1.0,None,0.0
686.0,5483460.0,11.113152001460053,1,16,15,35.5,None,None,None,None,0.0,0.0,None,1.0
687.0,5486130.0,11.113152001460053,1,20,4,35.1,None,None,None,None,0.0,0.0,None,1.0
688.0,5490000.0,13.314612178750547,1,9,2,35,21,6.2,16,1,0.0,1.0,1,0.0
689.0,5500000.0,15.61298847210696,1,12,11,32.7,18,7,10,1,0.0,1.0,None,0.0
690.0,5500000.0,9.519962766487579,1,5,1,31,20,5.5,7,0,1.0,0.0,0,0.0
691.0,5500000.0,17.50955265866631,1,12,5,36,19,7,15,1,0.0,1.0,0,0.0
692.0,5500000.0,18.417300514120456,1,22,13,40,20,10.1,10,0,0.0,1.0,1,0.0
693.0,5500000.0,13.230335779490693,1,9,8,33,19,7,5,1,0.0,0.0,0,0.0
694.0,5500000.0,13.824166727933958,1,5,4,36.5,18.3,7,23,1,0.0,1.0,None,0.0
695.0,5500000.0,17.543581168402493,1,25,24,30,12,8,15,1,0.0,1.0,0,0.0
696.0,5500000.0,17.24473355354291,1,16,11,37,19,10,15,1,0.0,1.0,1,0.0
697.0,5500000.0,12.664590967367287,1,12,10,35,18,7,4,1,0.0,1.0,1,0.0
698.0,5500000.0,15.853396789907599,1,16,6,35,19,8,None,None,0.0,1.0,1,0.0
699.0,5522070.0,13.517568425052795,1,17,6,31.6,20.4,None,3,1,1.0,1.0,None,1.0
700.0,5550000.0,13.436900707670747,2,9,6,38,23,7.5,15,1,0.0,1.0,0,0.0
701.0,11868759.0,10.760366517541806,2,11,2,57.4,29.9,10.3,1,1,1.0,1.0,None,1.0
702.0,9275886.0,13.61142529191017,2,23,11,47.2,None,None,15,1,1.0,0.0,None,1.0
703.0,8200000.0,13.06279540751567,2,12,8,53.3,30,8.4,15,0,0.0,1.0,0,0.0
704.0,5600000.0,9.094660918225992,1,5,1,37,20,9,15,1,1.0,0.0,None,0.0
705.0,5600000.0,10.1594196650957,1,5,4,31.5,19,6,15,1,1.0,1.0,None,0.0
706.0,5600000.0,11.978084886208922,1,9,7,34.7,19.8,6.4,10,1,0.0,1.0,1,0.0
707.0,5600000.0,15.592663611309264,2,14,4,38,23,6,10,0,0.0,1.0,0,0.0
708.0,5600000.0,13.121781389773501,1,9,4,32.7,18.9,6.1,9,1,0.0,0.0,1,0.0
709.0,5600000.0,15.904619933209167,2,9,5,45,28,6,None,None,0.0,0.0,1,0.0
710.0,5600000.0,13.463975181147497,1,12,2,32,18,7.4,15,1,1.0,0.0,1,0.0
711.0,5600000.0,7.987771968295306,1,12,2,38,23,10,2,0,0.0,0.0,1,0.0
712.0,5600000.0,9.976710193627067,2,9,5,37.1,22.6,7.4,None,None,0.0,1.0,1,0.0
713.0,5602700.0,11.113152001460053,1,20,2,35.9,None,None,None,None,0.0,0.0,None,1.0
714.0,5610560.0,11.113152001460053,1,20,7,36.4,None,None,None,None,0.0,0.0,None,1.0
715.0,5610560.0,11.113152001460053,1,20,7,36.4,None,None,None,None,0.0,0.0,None,1.0
716.0,5625880.0,11.113152001460053,1,20,5,34.9,None,None,None,None,0.0,0.0,None,1.0
717.0,5628360.0,11.113152001460053,1,20,13,36.5,None,None,None,None,0.0,0.0,None,1.0
718.0,5628360.0,11.113152001460053,1,20,9,36.4,None,None,None,None,0.0,0.0,None,1.0
719.0,5628360.0,11.113152001460053,1,20,10,36.4,None,None,None,None,0.0,0.0,None,1.0
720.0,5635480.0,11.113152001460053,1,20,8,35.9,None,None,None,None,0.0,0.0,None,1.0
721.0,5635480.0,11.113152001460053,1,20,6,35.9,None,None,None,None,0.0,0.0,None,1.0
722.0,5653280.0,11.113152001460053,1,20,18,36.5,None,None,None,None,0.0,0.0,None,1.0
723.0,5653280.0,11.113152001460053,1,20,16,36.5,None,None,None,None,0.0,0.0,None,1.0
724.0,5653280.0,11.113152001460053,1,20,17,36.5,None,None,None,None,0.0,0.0,None,1.0
725.0,5653280.0,11.113152001460053,1,20,10,36.0,None,None,None,None,0.0,0.0,None,1.0
726.0,5653280.0,11.113152001460053,1,20,9,36.0,None,None,None,None,0.0,0.0,None,1.0
727.0,5678200.0,11.113152001460053,1,20,16,36.1,None,None,None,None,0.0,0.0,None,1.0
728.0,5678200.0,11.113152001460053,1,20,18,36.1,None,None,None,None,0.0,0.0,None,1.0
729.0,8100000.0,12.302833879330594,3,12,12,64,45.2,6.6,5,1,0.0,1.0,None,0.0
730.0,4800000.0,13.524697300439888,1,9,8,33,19,6.6,28,1,0.0,0.0,None,0.0
731.0,5156650.0,13.517568425052795,1,17,6,30.3,13.4,8.8,3,1,1.0,1.0,None,1.0
732.0,5678200.0,11.113152001460053,1,20,19,36.1,None,None,None,None,0.0,0.0,None,1.0
733.0,5700000.0,15.948185380739929,1,9,9,32.6,18.6,6.6,8,0,0.0,0.0,1,0.0
734.0,5700000.0,8.02370219142809,1,5,2,30,16.8,6,10,0,1.0,1.0,1,0.0
735.0,5700000.0,11.255686529515996,1,9,2,32,20,7,15,1,0.0,0.0,1,0.0
736.0,5700000.0,9.76121416503956,1,9,4,33.4,17.8,7,5,0,0.0,0.0,1,0.0
737.0,5700000.0,13.064713013221239,1,9,4,36,21,6.7,5,0,0.0,1.0,1,0.0
738.0,5700000.0,13.034183048902063,1,9,4,33,19,6,7,1,0.0,0.0,1,0.0
739.0,5741900.0,11.113152001460053,1,18,3,33.5,None,None,None,None,0.0,0.0,None,1.0
740.0,5741900.0,11.113152001460053,1,18,5,33.5,None,None,None,None,0.0,0.0,None,1.0
741.0,5750000.0,15.702900777801949,2,14,13,39,24,7,15,0,0.0,1.0,0,0.0
742.0,5750910.0,11.113152001460053,1,18,6,33.3,None,None,None,None,0.0,0.0,None,1.0
743.0,5760345.0,14.276006086634045,2,20,18,55.5,13,10,8,1,1.0,0.0,None,1.0
744.0,5767300.0,13.517568425052795,1,17,7,32.2,22.8,None,3,1,1.0,1.0,None,1.0
745.0,5767560.0,11.113152001460053,1,18,13,33.4,None,None,None,None,0.0,0.0,None,1.0
746.0,5767560.0,11.113152001460053,1,18,12,33.4,None,None,None,None,0.0,0.0,None,1.0
747.0,5767560.0,11.113152001460053,1,18,11,33.3,None,None,None,None,0.0,0.0,None,1.0
748.0,5785000.0,11.113152001460053,1,20,7,35.9,None,None,None,None,0.0,0.0,None,1.0
749.0,5785000.0,11.113152001460053,1,20,8,35.9,None,None,None,None,0.0,0.0,None,1.0
750.0,5785000.0,11.113152001460053,1,20,6,35.9,None,None,None,None,0.0,0.0,None,1.0
751.0,5790000.0,9.01735410923155,2,9,7,37,22,7.5,10,0,0.0,1.0,1,0.0
752.0,5790000.0,20.81122276845163,2,9,9,44,31,6,None,None,0.0,1.0,None,0.0
753.0,5790720.0,11.113152001460053,1,18,3,34.8,None,None,None,None,0.0,0.0,None,1.0
754.0,5790720.0,11.113152001460053,1,18,4,34.8,None,None,None,None,0.0,0.0,None,1.0
755.0,5800000.0,14.388424945977086,1,17,13,39,19,9,15,0,0.0,1.0,1,0.0
756.0,5800000.0,16.396365012103864,1,14,4,36,20,10,15,1,0.0,1.0,1,0.0
757.0,6451855.0,10.938704131798367,2,18,3,50.4,None,None,14,1,0.0,1.0,None,1.0
758.0,8150987.0,10.946509775726676,2,18,6,49.4,31.8,8.8,10,1,1.0,0.0,None,1.0
759.0,9500000.0,16.421152059188476,2,16,9,54,33,8.5,9,1,0.0,1.0,1,0.0
760.0,5800000.0,12.689584700154896,1,16,11,37.3,19,10,1,1,0.0,1.0,None,0.0
761.0,5800000.0,7.3890623601827246,1,5,5,30,17,6,15,1,0.0,1.0,1,0.0
762.0,5800000.0,7.945948362902143,2,5,4,44,27,6,8,0,0.0,1.0,None,0.0
763.0,5800000.0,7.945948362902143,2,5,5,44,27,6,10,0,0.0,1.0,None,0.0
764.0,5800000.0,13.474083831228993,1,9,5,35,21,7,15,1,0.0,1.0,1,0.0
765.0,5800000.0,14.493260855645904,1,9,3,35.5,20.3,6.5,10,1,0.0,1.0,None,0.0
766.0,5800000.0,12.472795506530849,1,9,2,33,19,7,7,1,0.0,0.0,1,0.0
767.0,5800000.0,10.922886505383484,1,9,2,32,21,6,5,1,0.0,0.0,1,0.0
768.0,5800000.0,13.6006693725468,2,5,5,43.3,27,6,9,0,1.0,1.0,1,0.0
769.0,5802800.0,11.113152001460053,1,20,9,36.0,None,None,None,None,0.0,0.0,None,1.0
770.0,5802800.0,11.113152001460053,1,20,11,36.0,None,None,None,None,0.0,0.0,None,1.0
771.0,5802800.0,11.113152001460053,1,20,12,36,None,None,None,None,0.0,0.0,None,1.0
772.0,5827720.0,11.113152001460053,1,20,18,36.1,None,None,None,None,0.0,0.0,None,1.0
773.0,5827720.0,11.113152001460053,1,20,16,36.0,None,None,None,None,0.0,0.0,None,1.0
774.0,5827720.0,11.113152001460053,1,20,19,36.1,None,None,None,None,0.0,0.0,None,1.0
775.0,5836320.0,11.113152001460053,1,16,5,37.8,None,None,None,None,0.0,0.0,None,1.0
776.0,5836320.0,11.113152001460053,1,16,3,37.8,None,None,None,None,0.0,0.0,None,1.0
777.0,5836320.0,11.113152001460053,1,16,4,37.8,None,None,None,None,0.0,0.0,None,1.0
778.0,5848200.0,11.113152001460053,1,16,2,38,None,None,None,None,0.0,0.0,None,1.0
779.0,5850000.0,9.670676027545033,2,9,7,37.5,22.7,7,7,0,0.0,1.0,1,0.0
780.0,5885000.0,15.54535257422854,2,5,5,44,28,6,15,0,1.0,1.0,1,0.0
781.0,5899000.0,6.88284029330561,1,5,3,32,12.5,8.5,10,1,0.0,0.0,1,0.0
782.0,5900000.0,13.342250382435875,2,9,1,45,30,6.5,14,1,0.0,0.0,None,0.0
783.0,5900000.0,15.293898091574517,1,12,12,38.6,20.8,8.6,15,0,0.0,1.0,0,0.0
784.0,5900000.0,14.676740514001372,2,14,10,38,24,6,10,0,0.0,1.0,0,0.0
785.0,4547200.0,14.276006086634045,1,20,2,40.6,13.1,15.2,8,1,1.0,0.0,None,1.0
786.0,7771000.0,14.287382460002524,3,20,14,79.3,46.5,14,8,1,1.0,1.0,None,1.0
787.0,17589340.0,12.677787761344488,2,18,18,71,41.4,12.3,17,1,1.0,0.0,None,1.0
788.0,5900000.0,5.019831845121763,1,5,1,33,20,6,2,1,0.0,0.0,1,0.0
789.0,5900000.0,7.873926566182971,1,9,5,32,12,5,7,1,0.0,1.0,1,0.0
790.0,5900000.0,10.952460987194897,2,17,3,51,30,12,7,1,1.0,1.0,None,1.0
791.0,5900000.0,15.42611595892208,1,16,8,38,19.5,10,None,None,0.0,1.0,None,0.0
792.0,5916612.0,14.276006086634045,2,20,19,59.8,17.6,11.6,8,1,1.0,0.0,None,1.0
793.0,5920000.0,12.214623205708133,1,3,1,32.9,16.8,8,14,1,0.0,0.0,None,0.0
794.0,5920000.0,12.214623205708133,1,3,1,32.9,16.8,8,10,1,0.0,0.0,0,0.0
795.0,5938000.0,14.287382460002524,2,20,14,55.5,21,13,8,1,1.0,1.0,None,1.0
796.0,5950000.0,14.339750064113126,2,5,5,42,27,7,12,0,1.0,1.0,0,0.0
797.0,5963310.0,11.113152001460053,1,16,7,38.3,None,None,None,None,0.0,0.0,None,1.0
798.0,5970120.0,11.113152001460053,1,18,7,36.2,None,None,None,None,0.0,0.0,None,1.0
799.0,5978880.0,11.113152001460053,1,16,6,38.8,None,None,None,None,0.0,0.0,None,1.0
800.0,5980000.0,10.828446258950615,2,9,2,36.7,22.1,7.4,11,1,0.0,0.0,0,0.0
801.0,5982460.0,11.113152001460053,1,16,13,38.4,None,None,None,None,0.0,0.0,None,1.0
802.0,5982460.0,11.113152001460053,1,16,10,38.3,None,None,None,None,0.0,0.0,None,1.0
803.0,5982460.0,11.113152001460053,1,16,9,38.3,None,None,None,None,0.0,0.0,None,1.0
804.0,5987480.0,11.113152001460053,1,18,5,36.2,None,None,None,None,0.0,0.0,None,1.0
805.0,5987920.0,11.113152001460053,1,18,13,36.3,None,None,None,None,0.0,0.0,None,1.0
806.0,5987920.0,11.113152001460053,1,18,11,36.3,None,None,None,None,0.0,0.0,None,1.0
807.0,5990000.0,14.361268687353059,2,9,3,44,28,6,None,None,0.0,0.0,1,0.0
808.0,6000000.0,13.292714660661884,1,16,2,41,19,10,14,1,0.0,1.0,1,0.0
809.0,6000000.0,15.858718754285155,1,14,6,40.8,19.3,9.4,None,None,0.0,1.0,1,0.0
810.0,6000000.0,9.992325825051646,1,9,6,32,21,6,20,0,0.0,1.0,0,0.0
811.0,6000000.0,14.468479091697459,1,12,4,43,21,9,25,1,0.0,1.0,1,0.0
812.0,6000000.0,13.858765011217164,2,5,4,42.7,28.9,6,5,0,1.0,1.0,1,0.0
813.0,11217600.0,14.150676652734962,2,12,2,65.6,33.6,12.2,15,1,1.0,1.0,None,1.0
814.0,9300000.0,4.213727711255788,1,16,13,38,19,9,11,1,0.0,1.0,None,0.0
815.0,4400000.0,15.84184516850267,1,5,1,23.3,15.5,3.4,15,0,1.0,0.0,0,0.0
816.0,6000000.0,14.112006140099547,2,5,2,46,31,6.5,21,1,0.0,1.0,None,0.0
817.0,6000000.0,15.279905703295652,1,7,5,36,24,9,15,1,1.0,0.0,None,0.0
818.0,6000000.0,10.092715727248768,2,9,5,38,23,7.5,10,1,0.0,1.0,1,0.0
819.0,6000000.0,14.403401844401966,2,9,4,42,33,5,10,0,0.0,0.0,0,0.0
820.0,6000000.0,8.601992182187974,1,12,3,36.7,20.4,10,8,0,0.0,1.0,1,0.0
821.0,6000000.0,13.609008221740853,1,5,5,31,18,6,15,1,1.0,0.0,None,0.0
822.0,6000000.0,11.058175691651698,1,12,1,34,19,10,10,1,0.0,0.0,None,0.0
823.0,5999999.0,16.018683119548538,1,14,10,39,21,10,5,1,0.0,1.0,0,0.0
824.0,6000000.0,13.114997407570895,2,5,5,45,30,6,28,1,1.0,1.0,None,0.0
825.0,6000000.0,12.012278421478946,1,17,11,36.4,18.8,7.8,10,1,0.0,1.0,1,0.0
826.0,6000000.0,13.70612335117307,3,9,1,56,37,8,15,1,0.0,1.0,1,0.0
827.0,6000000.0,9.255873549430044,1,14,6,36,20,11,None,None,0.0,1.0,None,0.0
828.0,6000000.0,13.170056984489033,1,9,2,36,21,7,14,1,0.0,1.0,1,0.0
829.0,6000000.0,14.636947058956773,2,9,4,34,23,5,5,0,0.0,1.0,None,0.0
830.0,6000000.0,16.19453637497336,1,16,2,37,19,7,7,1,0.0,1.0,1,0.0
831.0,6009270.0,11.113152001460053,1,16,15,38.4,None,None,None,None,0.0,0.0,None,1.0
832.0,6012840.0,11.113152001460053,1,18,14,36.3,None,None,None,None,0.0,0.0,None,1.0
833.0,6012840.0,11.113152001460053,1,18,17,36.4,None,None,None,None,0.0,0.0,None,1.0
834.0,6012840.0,11.113152001460053,1,18,15,36.3,None,None,None,None,0.0,0.0,None,1.0
835.0,6012840.0,11.113152001460053,1,18,16,36.3,None,None,None,None,0.0,0.0,None,1.0
836.0,6024960.0,11.113152001460053,1,16,15,38.8,None,None,None,None,0.0,0.0,None,1.0
837.0,6099000.0,14.287382460002524,2,20,14,59.8,25,17.6,8,1,1.0,1.0,None,1.0
838.0,6100000.0,12.141003929278352,1,17,7,44,20,10,10,0,0.0,1.0,0,0.0
839.0,6100000.0,12.545538003938363,1,12,12,39,21,8.5,12,1,0.0,1.0,1,0.0
840.0,6100000.0,9.91960703035333,2,9,2,45,31,5.6,10,0,0.0,0.0,1,0.0
841.0,21330000.0,8.404692140945375,2,13,11,79,43,12,6,1,1.0,1.0,None,0.0
842.0,9850000.0,11.731848386153288,2,16,7,52,32,9,7,1,0.0,1.0,1,0.0
843.0,11200000.0,15.072483496505436,2,14,14,64.4,35,13,14,1,0.0,1.0,1,0.0
844.0,3050000.0,7.8507741091134235,1,5,5,13,9,2,15,1,1.0,1.0,1,0.0
845.0,3300000.0,14.168078218116122,1,5,3,13.3,9,1,5,1,1.0,0.0,1,0.0
846.0,3600000.0,12.895581137495931,1,3,1,16,14,None,10,0,1.0,0.0,0,0.0
847.0,3600000.0,14.73192122346901,1,6,5,15,13,2,12,1,1.0,0.0,None,0.0
848.0,3800000.0,9.998951095372828,1,5,5,24.5,17,4,15,1,1.0,0.0,None,0.0
849.0,3900000.0,17.493684163392246,1,5,5,32,17,6.7,29,1,0.0,1.0,1,0.0
850.0,3950000.0,12.606396411388216,1,5,5,27,19,4.5,15,1,1.0,0.0,None,0.0
851.0,3990000.0,17.526817518286126,1,25,22,49,22,10,5,0,1.0,1.0,None,1.0
852.0,4000000.0,14.214034948659831,2,14,1,38.2,24,7,18,1,0.0,0.0,None,0.0
853.0,4100000.0,17.324681402890203,2,2,1,46,32,6.5,10,0,0.0,0.0,None,0.0
854.0,4100000.0,9.998951095372828,1,5,5,24,16,4,15,1,1.0,0.0,None,0.0
855.0,4100000.0,9.998951095372828,1,5,5,24,16,4,12,1,0.0,0.0,None,0.0
856.0,4150000.0,11.893571613207692,1,5,5,24,14,4.5,14,1,0.0,0.0,None,0.0
857.0,4200000.0,14.820468538369408,1,10,2,36,18,9,10,0,0.0,1.0,None,0.0
858.0,4300000.0,10.104770878911715,1,5,1,25,14,4,18,1,1.0,0.0,1,0.0
859.0,4300000.0,10.147279947056797,1,5,5,31,19,6,23,1,0.0,1.0,1,0.0
860.0,4300000.0,10.104770878911715,1,5,3,23.9,15.7,3.5,None,None,0.0,0.0,1,0.0
861.0,4300000.0,10.97112413151422,1,5,1,28.4,17,5.7,10,1,1.0,0.0,1,0.0
862.0,4350000.0,13.535940581702654,1,9,8,33,19,7,15,1,0.0,0.0,1,0.0
863.0,4400000.0,16.308340955051037,1,9,5,33,19.4,6,29,1,1.0,1.0,1,0.0
864.0,4400000.0,13.09728960065105,1,5,5,32,20,6,5,0,0.0,1.0,0,0.0
865.0,4400000.0,14.946503877704908,1,12,1,40,21,9.3,10,0,0.0,0.0,1,0.0
866.0,4400000.0,12.306533813426077,1,5,5,32,21,6,10,1,0.0,1.0,1,0.0
867.0,4400000.0,13.136637419052995,1,9,1,31.7,21.4,6,14,1,0.0,0.0,1,0.0
868.0,4450000.0,16.158530694916795,1,9,9,34.7,20.9,7,10,0,0.0,1.0,1,0.0
869.0,5300000.0,14.686474428199743,1,9,1,34.4,19.5,9,10,1,0.0,0.0,0,0.0
870.0,5000000.0,14.650601415023045,1,12,2,38.1,19,9,12,1,0.0,0.0,1,0.0
871.0,12300000.0,5.546037935336155,3,7,7,65.7,42,8,3,1,0.0,0.0,None,0.0
872.0,4490000.0,15.160045277907631,1,9,4,27,15,6,19,1,0.0,0.0,None,0.0
873.0,4500000.0,15.293768053899816,1,9,3,33,19,6.5,15,1,0.0,0.0,1,0.0
874.0,4500000.0,15.8875836680203,1,15,14,36,19,9,15,1,0.0,1.0,None,0.0
875.0,4500000.0,15.8875836680203,1,14,14,35.1,20,10,15,1,0.0,1.0,1,0.0
876.0,4500000.0,15.154818749909282,1,5,1,32,26,6,12,1,0.0,0.0,1,0.0
877.0,4500000.0,8.45788578652651,1,12,1,35,20,9.7,15,1,0.0,0.0,None,0.0
878.0,4500000.0,12.442750825538381,1,5,4,30.4,18.6,5.6,10,1,0.0,1.0,1,0.0
879.0,4500000.0,16.79681174168485,1,9,7,36,23,7,20,1,0.0,1.0,1,0.0
880.0,4500000.0,12.863547840506616,1,5,1,33,20.3,6,15,1,0.0,0.0,1,0.0
881.0,4600000.0,8.047925457204187,1,5,4,32,20,5.5,16,1,0.0,1.0,1,0.0
882.0,4600000.0,15.35625710929476,1,9,8,32.2,18.7,6,20,0,0.0,0.0,0,0.0
883.0,4600000.0,14.001593265656803,1,9,4,31.7,21.4,5.2,3,1,0.0,1.0,1,0.0
884.0,4600000.0,16.04122422767369,1,12,2,36,20,9,15,1,0.0,0.0,1,0.0
885.0,4600000.0,15.682516157410099,1,9,9,32.8,19,6,15,1,0.0,0.0,1,0.0
886.0,4600000.0,11.936074137867376,1,9,4,33,18,7.5,None,None,0.0,0.0,1,0.0
887.0,4600000.0,13.189207584383741,1,5,1,31,18,6,12,1,0.0,0.0,0,0.0
888.0,4600000.0,14.976879738074812,1,9,1,33,19,6,10,0,0.0,0.0,0,0.0
889.0,4600000.0,11.421286232589136,1,9,2,31.9,21.4,5.3,15,1,0.0,0.0,None,0.0
890.0,4650000.0,14.326194294312245,1,9,2,33,19,7,10,1,0.0,0.0,1,0.0
891.0,4650000.0,15.330950765837345,1,12,2,38.8,20.7,8.5,None,None,0.0,0.0,1,0.0
892.0,4650000.0,8.891896660521311,1,9,3,24,15,3,15,1,0.0,0.0,1,0.0
893.0,4700000.0,12.23446683924256,1,9,9,32.6,18.7,6.6,15,1,0.0,0.0,1,0.0
894.0,4700000.0,8.347309529184992,1,5,1,32,20,6,20,1,0.0,0.0,None,0.0
895.0,4700000.0,9.327510113201805,1,5,5,30,18,6,15,1,1.0,1.0,0,0.0
896.0,4700000.0,15.993045275822569,1,9,5,32,17,7,29,1,0.0,0.0,None,0.0
897.0,10450000.0,10.030797022080224,3,9,6,71.4,49.3,8.3,9,1,0.0,1.0,1,0.0
898.0,8800000.0,7.225505070710472,2,9,3,40,25,6,10,1,0.0,1.0,0,0.0
899.0,15950000.0,14.569356397758282,2,17,4,68.8,33.7,13.2,9,1,0.0,1.0,1,0.0
900.0,4700000.0,14.985203644932126,1,12,12,34.8,19,8,12,1,0.0,0.0,None,0.0
901.0,4750000.0,13.156235393967094,1,12,3,38.5,25,8,None,None,0.0,1.0,1,0.0
902.0,4760000.0,15.217563353296484,1,9,7,31,20,7,15,0,0.0,1.0,0,0.0
903.0,4780000.0,16.308340955051037,1,9,2,32,20,5.5,15,0,1.0,0.0,None,0.0
904.0,4790000.0,9.697724600947057,1,5,2,32,17.6,6,7,1,0.0,1.0,0,0.0
905.0,4800000.0,14.821352825359595,1,6,3,33,23,6,18,1,1.0,0.0,1,0.0
906.0,4800000.0,13.615189119771811,1,5,3,34,17,9,13,1,0.0,0.0,1,0.0
