N,Price,Dist,Rooms,Nfloors,Floor,Totsp,Livesp,Kitsp,Metrdist,Walk,Brick,Bal,Tel,New
336.0,4732145.0,19.801462864390036,1,14,5,44.4,17.2,11.7,20,0,1.0,1.0,None,1.0
337.0,18000000.0,5.464139995266477,2,25,10,60,32,10,2,1,1.0,0.0,1,0.0
338.0,7000000.0,14.968721249269677,2,9,7,44.3,32,6,7,0,0.0,1.0,None,0.0
339.0,11000000.0,14.469694104724534,2,18,4,55.1,33.7,9.5,10,0,1.0,1.0,0,0.0
340.0,4743300.0,19.801462864390036,2,16,3,48.9,23.2,10.2,20,0,1.0,1.0,None,1.0
341.0,4750000.0,9.926567796258462,1,5,2,30.5,18.6,6,20,1,0.0,1.0,1,0.0
342.0,4779000.0,13.12533191651853,1,29,13,27,None,None,2,1,1.0,1.0,None,1.0
343.0,4800000.0,12.196619611542692,1,5,3,31,20,6,None,None,0.0,1.0,1,0.0
344.0,4836538.0,19.801462864390036,1,14,9,43.7,18.2,13.0,20,0,1.0,1.0,None,1.0
345.0,4841097.0,19.801462864390036,1,14,5,44.0,17.9,12.3,20,0,1.0,1.0,None,1.0
346.0,4899000.0,16.705899525682618,1,16,2,37.8,20,None,10,0,0.0,1.0,None,0.0
347.0,4899450.0,19.801462864390036,1,14,6,44.5,18.3,12.4,20,0,1.0,1.0,None,1.0
348.0,4900000.0,14.096981458257687,1,5,3,32,20,6,10,0,0.0,1.0,None,0.0
349.0,4900000.0,16.227211262881127,1,16,2,36.3,19.1,8,15,0,0.0,1.0,None,0.0
350.0,4900000.0,14.234075076971397,1,12,4,35,20,10.8,10,0,0.0,1.0,0,0.0
351.0,4900000.0,15.814070268618485,1,9,5,35,25,6.3,None,None,1.0,1.0,1,0.0
352.0,4978750.0,19.801462864390036,2,16,3,56.9,33.2,11.1,20,0,1.0,1.0,None,1.0
353.0,4980000.0,15.194277490492693,1,9,6,33,19,7,20,1,0.0,0.0,1,0.0
354.0,4980096.0,19.801462864390036,1,14,5,47.5,17.9,13.8,20,0,1.0,1.0,None,1.0
355.0,4987500.0,19.801462864390036,2,16,3,57,33.2,11,20,0,1.0,1.0,None,1.0
356.0,4990000.0,15.428466431567532,1,9,2,33,19,2.5,10,0,0.0,0.0,None,0.0
357.0,5000000.0,14.971700541772233,1,12,1,35,28,7,10,0,0.0,1.0,0,0.0
358.0,5000000.0,15.772332565962284,1,12,11,39.1,20.9,9,5,0,0.0,1.0,None,0.0
359.0,5000000.0,15.12090381665118,1,21,4,32.3,None,None,None,None,0.0,1.0,None,1.0
360.0,5000000.0,10.87668999117383,1,5,4,32,20,7,10,0,0.0,1.0,0,0.0
361.0,5000000.0,13.076040306446835,2,12,8,40,25,5,None,None,0.0,1.0,0,0.0
362.0,5000000.0,13.0477025835674,2,12,7,40,25,7,None,None,0.0,1.0,1,0.0
363.0,5027616.0,19.801462864390036,1,16,10,47.5,17.9,13.8,20,0,1.0,1.0,None,1.0
364.0,5055980.0,15.12090381665118,1,21,6,34.6,None,None,None,None,0.0,1.0,None,1.0
365.0,11500000.0,14.823287077471159,3,17,9,74,45,10,None,None,0.0,1.0,1,0.0
366.0,19000000.0,10.853047795050045,3,8,4,80.5,51.8,10.3,4,1,1.0,1.0,1,0.0
367.0,58500000.0,8.531314244533466,2,50,42,105,45,21.7,5,0,1.0,1.0,1,0.0
368.0,5090000.0,13.909942265898122,1,5,5,32,17.6,6,26,0,0.0,1.0,1,0.0
369.0,5100000.0,16.42018716813214,1,9,9,33.3,18.4,6,20,0,1.0,1.0,1,0.0
370.0,5100000.0,16.78402508950036,1,16,2,37.8,21,None,15,0,0.0,1.0,None,0.0
371.0,5100000.0,6.4059002223826,1,15,3,31.6,18,None,10,1,1.0,1.0,None,0.0
372.0,5117100.0,19.801462864390036,1,14,2,46.1,16.8,20.9,20,0,1.0,1.0,None,1.0
373.0,5130227.0,19.801462864390036,1,14,5,43.4,16,19.4,20,0,1.0,1.0,None,1.0
374.0,5149608.0,15.12090381665118,1,21,6,35.0,None,None,None,None,0.0,1.0,None,1.0
375.0,5150000.0,10.926468982576731,1,5,2,33,18,6,5,0,0.0,1.0,1,0.0
376.0,5150000.0,13.05428688115732,1,12,4,32,17,8,20,1,0.0,1.0,0,0.0
377.0,5168557.0,15.12090381665118,1,21,10,33.9,None,None,None,None,0.0,1.0,None,1.0
378.0,5174400.0,19.801462864390036,1,14,7,44.8,12.7,18.8,20,0,1.0,1.0,None,1.0
379.0,5188601.0,15.12090381665118,1,21,16,34.4,None,None,None,None,0.0,1.0,None,1.0
380.0,5189483.0,15.12090381665118,1,21,14,33.8,None,None,None,None,0.0,1.0,None,1.0
381.0,5198933.0,15.12090381665118,1,21,14,34.0,None,None,None,None,0.0,1.0,None,1.0
382.0,5200000.0,16.140537035794868,1,9,9,32,19.8,6,None,None,1.0,1.0,0,0.0
383.0,5200000.0,11.233924423121568,1,12,9,40,20,10,None,None,0.0,1.0,None,0.0
384.0,5200000.0,16.701638146597002,1,5,4,31.5,18,6,10,0,1.0,1.0,1,0.0
385.0,5200000.0,10.905826379213988,1,9,6,32,21,6,20,1,0.0,1.0,0,0.0
386.0,5200000.0,15.428466431567532,1,9,6,33,19,7,12,0,0.0,0.0,0,0.0
387.0,5200000.0,7.820948446651953,1,13,3,31.6,20,None,4,1,1.0,0.0,None,1.0
388.0,5200000.0,15.36325604028356,1,17,4,39,19,8.5,10,0,0.0,1.0,0,0.0
389.0,5200000.0,13.53341524161066,1,5,3,32,18,6,15,1,1.0,1.0,0,0.0
390.0,5200000.0,17.198787030349322,2,5,3,41.3,25.6,5,10,0,1.0,1.0,1,0.0
391.0,5250000.0,14.27446903547845,1,12,7,31,20,9,None,None,0.0,1.0,1,0.0
392.0,5257959.0,13.027851747092342,1,8,4,33.1,14,10,15,0,1.0,0.0,None,1.0
393.0,8400000.0,12.583390356708923,2,20,12,40,24,4.4,10,1,1.0,0.0,None,1.0
394.0,62500000.0,7.354863617266016,4,14,7,180,101,30,11,1,1.0,1.0,1,0.0
395.0,4970000.0,11.045054433325923,1,9,4,33.1,19.1,6.7,14,1,0.0,0.0,1,0.0
396.0,5290000.0,16.90342733661068,1,16,7,38,19,10,50,1,0.0,1.0,0,0.0
397.0,5296324.0,15.12090381665118,1,21,10,34.2,None,None,None,None,0.0,1.0,None,1.0
398.0,5299000.0,16.206447941416606,1,9,9,32,18,6,10,0,1.0,1.0,1,0.0
399.0,5300000.0,10.575494465842667,1,5,3,30,18,6,9,1,1.0,1.0,None,0.0
400.0,5300000.0,16.107266564632027,2,12,9,45,29,6,15,0,0.0,1.0,1,0.0
401.0,5300000.0,10.744368191848842,1,5,4,32,20,6,7,1,0.0,1.0,0,0.0
402.0,5337440.0,19.801462864390036,1,14,7,45.8,20,12.5,20,0,1.0,1.0,None,1.0
403.0,5350000.0,12.105206666044422,1,9,6,34,21.5,6,None,None,0.0,1.0,1,0.0
404.0,5350000.0,13.923666455621861,2,5,1,45,29.1,5.5,15,1,0.0,0.0,None,0.0
405.0,5400000.0,11.321339433236753,2,9,5,44,28,6,15,1,0.0,1.0,1,0.0
406.0,5400000.0,14.273472239543946,1,12,8,33,17,10,15,1,0.0,1.0,1,0.0
407.0,5400000.0,16.04948303268361,2,12,1,37.5,24,7,15,1,0.0,0.0,None,0.0
408.0,5432661.0,15.12090381665118,1,21,16,36.7,None,None,None,None,0.0,1.0,None,1.0
409.0,5445816.0,7.820948446651953,1,14,10,30.3,25.3,4,15,1,1.0,1.0,None,1.0
410.0,5450000.0,15.099763675340537,2,12,11,44,26,6,None,None,0.0,1.0,None,0.0
411.0,5490000.0,16.861648965668486,3,5,2,55,33,5.5,10,0,1.0,0.0,1,0.0
412.0,5490000.0,15.603582612679158,2,9,1,37.3,23,8,10,0,0.0,0.0,1,0.0
413.0,5490000.0,13.395372050865634,1,5,4,31,18,6.5,9,1,1.0,1.0,1,0.0
414.0,5499984.0,19.801462864390036,1,14,7,42,16.5,12.9,20,0,1.0,1.0,None,1.0
415.0,5500000.0,6.528414981321906,1,5,1,32,20,6,4,1,0.0,0.0,1,0.0
416.0,5500000.0,10.585188964308367,1,9,7,32,19,6,None,None,1.0,1.0,1,0.0
417.0,5500000.0,15.382196137184767,1,17,17,39,19,9,10,0,0.0,1.0,0,0.0
418.0,5500000.0,6.677582746386511,1,9,1,32,20,6,4,1,0.0,0.0,1,0.0
419.0,5550000.0,13.580737087243143,1,5,4,31,19,6,5,1,1.0,1.0,1,0.0
420.0,5576130.0,15.12090381665118,1,21,7,37.1,None,None,None,None,0.0,1.0,None,1.0
421.0,58500000.0,8.531314244533466,2,50,42,105,45,21.7,5,0,1.0,1.0,1,0.0
422.0,9326650.0,4.655961430360158,1,7,1,36.2,16.8,None,15,1,1.0,0.0,None,1.0
423.0,4970000.0,11.045054433325923,1,9,4,33.1,19.1,6.7,14,1,0.0,0.0,1,0.0
424.0,5583447.0,7.820948446651953,1,14,13,29.2,24.6,4,15,1,1.0,1.0,None,1.0
425.0,5590000.0,15.14130398301915,2,5,1,43,29,6,10,0,1.0,0.0,1,0.0
426.0,5600000.0,15.165738708115596,1,12,8,38,20,10,None,None,0.0,1.0,1,0.0
427.0,5600000.0,16.10347651613856,1,12,1,33,18,10,5,0,0.0,0.0,1,0.0
428.0,5600000.0,16.43420605391429,1,12,11,35.2,20,10,15,0,0.0,1.0,1,0.0
429.0,5600000.0,10.553818804389515,1,5,1,31.1,19.3,6,15,1,0.0,0.0,1,0.0
430.0,5600000.0,14.386497443403673,1,12,10,35,19.9,9.6,None,None,0.0,1.0,1,0.0
431.0,5600000.0,17.239216526379966,2,5,4,42,27,5,5,0,1.0,1.0,1,0.0
432.0,5600000.0,9.043766903957867,1,5,4,33,20,7,12,1,1.0,1.0,1,0.0
433.0,5600000.0,16.705899525682618,1,17,4,38,19,9,None,None,0.0,1.0,1,0.0
434.0,5600000.0,13.45850328458377,2,9,9,44,28,6,None,None,0.0,0.0,None,0.0
435.0,5600000.0,13.803904278530387,1,5,5,30,17,6,15,1,1.0,1.0,1,0.0
436.0,5600395.0,7.820948446651953,1,13,9,32.1,26.7,4,15,1,1.0,1.0,None,1.0
437.0,5650000.0,16.811841035062326,2,5,3,42,29,6,7,0,1.0,0.0,1,0.0
438.0,5650000.0,15.77720583577717,1,17,13,38,21,8,15,0,1.0,0.0,0,0.0
439.0,5658382.0,19.801462864390036,2,16,12,55.4,34.3,10.0,20,0,1.0,1.0,None,1.0
440.0,5690000.0,11.624195177856413,1,5,3,33,19,6.5,10,0,1.0,1.0,None,0.0
441.0,5700000.0,6.084476982611313,1,5,1,31,19,7,17,1,1.0,0.0,None,0.0
442.0,5700000.0,16.555612122416367,2,5,3,45,28,6,5,0,1.0,1.0,1,0.0
443.0,5700000.0,13.278057782550219,2,5,1,42.6,27.9,5.4,13,1,1.0,0.0,0,0.0
444.0,5700000.0,10.883367263457785,1,9,4,32,21,6,15,1,1.0,1.0,None,0.0
445.0,5700000.0,16.184464959175457,2,12,11,39,22,8,15,0,0.0,1.0,0,0.0
446.0,5700000.0,16.107266564632027,2,12,5,37,24,6.5,10,0,0.0,1.0,1,0.0
447.0,5700000.0,16.00137883355218,2,9,5,39.2,24,6.3,None,None,1.0,1.0,1,0.0
448.0,5700000.0,17.1804880845251,2,5,4,43.9,29,6,10,0,1.0,1.0,1,0.0
449.0,45600000.0,9.394546822671533,2,26,19,102,70,10,3,1,1.0,0.0,1,0.0
450.0,7700000.0,11.029606431235274,2,14,13,46,28.3,6,10,0,0.0,1.0,1,0.0
451.0,8500000.0,15.118164435309643,2,14,14,46,29,6,24,1,0.0,1.0,1,0.0
452.0,5715319.0,15.12090381665118,1,21,16,39.5,None,None,None,None,0.0,1.0,None,1.0
453.0,5716768.0,15.12090381665118,1,21,16,39.5,None,None,None,None,0.0,1.0,None,1.0
454.0,5728950.0,19.801462864390036,1,14,3,43.5,17.2,12.5,20,0,1.0,1.0,None,1.0
455.0,5736412.0,7.820948446651953,1,13,2,32.0,26.7,4,15,1,1.0,1.0,None,1.0
456.0,5750000.0,7.803242076734792,1,5,3,32,20,6,19,1,0.0,1.0,1,0.0
457.0,5790000.0,13.937417720767598,2,9,2,45,29,6,7,0,0.0,0.0,1,0.0
458.0,5799600.0,19.801462864390036,2,16,2,64.4,31.1,16.4,20,0,1.0,1.0,None,1.0
459.0,5800000.0,15.667730227401703,2,5,3,45.7,29.4,5.5,None,None,0.0,1.0,None,0.0
460.0,5800000.0,15.57962124905031,2,9,1,38,23,8,10,1,0.0,0.0,None,0.0
461.0,5800000.0,15.395786816001202,1,16,11,40,19.4,10,15,0,0.0,1.0,1,0.0
462.0,5800000.0,15.096042471224418,1,17,7,38,19,9,10,0,0.0,1.0,1,0.0
463.0,5800000.0,16.898538626182127,1,8,7,30.7,19.4,5.1,15,1,1.0,1.0,1,0.0
464.0,5800000.0,13.281643731367648,3,16,1,68.3,46.8,8,3,0,0.0,1.0,1,0.0
465.0,5826600.0,19.801462864390036,2,16,2,64.7,30.6,15.3,20,0,1.0,1.0,None,1.0
466.0,5850000.0,8.755752896542113,1,5,4,33,19,6,10,1,1.0,1.0,0,0.0
467.0,5850000.0,15.844312646697288,2,12,8,40,24,7,15,1,0.0,1.0,None,0.0
468.0,5857005.0,15.10313100554417,1,24,11,42.5,16.5,11.9,10,0,1.0,1.0,None,1.0
469.0,5890152.0,7.820948446651953,1,14,12,29.2,24.6,4,15,1,1.0,1.0,None,1.0
470.0,5893515.0,19.801462864390036,2,16,4,64.4,31.1,15.6,20,0,1.0,1.0,None,1.0
471.0,5900000.0,14.87701497566831,1,9,4,35,19.7,7,15,1,0.0,1.0,0,0.0
472.0,5900000.0,12.009512593128393,1,12,9,33,16.7,8,None,None,0.0,1.0,1,0.0
473.0,5900000.0,15.844312646697288,2,12,8,38,23,7,15,1,0.0,1.0,0,0.0
474.0,5900000.0,11.602963919296858,1,16,16,36,15,10,30,1,0.0,1.0,0,0.0
475.0,5900000.0,15.43801486517945,1,17,2,38,19,7,20,0,0.0,1.0,1,0.0
476.0,5900000.0,12.568224709073013,2,9,5,40,24,7.4,5,0,0.0,1.0,1,0.0
477.0,27000000.0,5.971342676837404,3,15,6,92,None,None,4,1,0.0,0.0,None,0.0
478.0,19050000.0,4.581591830270752,4,8,3,83,54,8.2,15,1,1.0,1.0,None,0.0
479.0,26950000.0,5.523753402746244,3,12,6,108.9,60.4,12.5,7,1,1.0,0.0,None,1.0
480.0,5900000.0,16.544665103760526,1,17,7,39,19,9,None,None,0.0,1.0,1,0.0
481.0,5900000.0,15.11264955201384,1,17,15,40,20,8,None,None,0.0,1.0,None,0.0
482.0,5900000.0,5.700801385710069,1,9,1,32,18,7,10,1,0.0,0.0,None,0.0
483.0,5900000.0,15.43801486517945,1,17,2,37.8,19,8.5,None,None,0.0,0.0,1,0.0
484.0,5949000.0,14.346166394720266,1,17,6,38,18,7.5,15,0,0.0,1.0,None,0.0
485.0,5950000.0,11.55139786511189,1,5,1,30,17,6,2,1,1.0,0.0,1,0.0
486.0,5950000.0,10.772629622628463,1,5,5,30,17,6,10,1,1.0,1.0,1,0.0
487.0,5950000.0,14.386206497652152,1,16,14,36,21,10,5,0,0.0,1.0,0,0.0
488.0,5950000.0,13.990557980493051,1,22,13,39,20,10,7,0,0.0,1.0,1,0.0
489.0,5958238.0,19.801462864390036,2,16,16,65.3,31.2,15.6,20,0,1.0,1.0,None,1.0
490.0,5968077.0,15.10313100554417,1,24,12,42.9,16.5,11.7,10,0,1.0,1.0,None,1.0
491.0,5990000.0,15.194277490492693,2,9,1,44.7,29,6,20,1,0.0,0.0,1,0.0
492.0,6000000.0,6.1598202555147,1,22,4,38,19.7,10.6,18,1,0.0,1.0,None,0.0
493.0,6000000.0,13.70996101414641,2,5,2,44,29,6,None,None,0.0,1.0,None,0.0
494.0,5999999.0,14.252034078590336,2,5,2,45,30,6,10,0,0.0,1.0,1,0.0
495.0,6000000.0,11.008816250714862,1,9,5,34,20,7.5,None,None,0.0,0.0,1,0.0
496.0,6000000.0,15.804186447592775,2,9,2,38,23,7.3,13,1,0.0,0.0,None,0.0
497.0,6000000.0,12.984443298120876,2,9,6,45,31,7,None,None,0.0,0.0,1,0.0
498.0,6000000.0,14.473518162176449,1,22,6,38.9,19.9,10,10,0,0.0,1.0,1,0.0
499.0,6000000.0,7.296725763152074,1,5,4,31,19,6.5,14,1,0.0,1.0,1,0.0
500.0,6000000.0,12.020638966089994,1,12,12,39,21,10,None,None,0.0,1.0,1,0.0
501.0,6016170.0,19.801462864390036,2,16,10,64.7,31.1,15.6,20,0,1.0,1.0,None,1.0
502.0,6092430.0,19.801462864390036,2,16,8,65.5,32.7,11.8,20,0,1.0,1.0,None,1.0
503.0,6150000.0,8.130805064742756,2,5,1,45,27,6,7,1,0.0,0.0,None,0.0
504.0,6150000.0,14.018225078246722,2,9,8,40,23,8,None,None,0.0,1.0,1,0.0
505.0,6912000.0,13.12146299363761,1,26,18,43.2,13.5,16.9,7,1,1.0,1.0,None,1.0
506.0,55000000.0,12.912612600959102,2,11,7,173,80,None,12,1,1.0,1.0,0,0.0
507.0,6700000.0,14.802973018196887,2,14,10,49,32,9,None,None,0.0,1.0,1,0.0
508.0,6150000.0,16.218515347278938,2,16,15,54.1,30,None,15,1,0.0,1.0,None,0.0
509.0,6154100.0,7.820948446651953,1,14,14,31.6,26.6,4,15,1,1.0,1.0,None,1.0
510.0,6161890.0,7.820948446651953,1,13,6,31.6,26.7,4,15,1,1.0,1.0,None,1.0
511.0,6190000.0,11.656084086288208,1,17,16,38,19,8,12,0,0.0,1.0,1,0.0
512.0,6200000.0,11.635114468776166,1,9,4,31.3,17.3,5.6,None,None,1.0,1.0,1,0.0
513.0,6200000.0,10.281977899922646,2,12,1,38,23,7,10,1,0.0,0.0,None,0.0
